"SOURCE_SYSTEM"|"DATA_KEY"|"DATA_ACTION"|"ACTION_DATE"|"ELR_ID"|"TRACK_ID"|"START_YARDAGE"|"END_YARDAGE"|"WORK_ORDER_NO"|"WORK_ORDER_DESC"|"WORK_GROUP"|"STD_JOB_CODE"|"REQD_FINISH_DATE"|"PROTECTION_TYPE"|"PROTECTION_METHOD"|"WORK_ORDER_STATUS"|"SCHEDULE_FREQUENCY"|"TOLERANCE_DESC"|"PLAN_STR_DATE"
"ELLIPSE"|"35478763"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|324132|324132|"35478763"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478765"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|324132|324132|"35478765"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478766"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|324056|324056|"35478766"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478769"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|324056|324056|"35478769"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478771"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323981|323981|"35478771"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478778"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323905|323905|"35478778"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478780"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323827|323827|"35478780"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478783"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323755|323755|"35478783"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478786"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323755|323755|"35478786"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478791"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323688|323688|"35478791"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478795"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323688|323688|"35478795"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478797"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323622|323622|"35478797"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478798"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323622|323622|"35478798"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"35478800"|"I"|"20-JUL-2020"|"CGJ3"|"0000"|323557|323557|"35478800"|"OLG-FDN&STR MINOR DEFECT RECT/ADJ"|"DFOPREC"|"004738"|"20991231"|"Red unassisted lookout                            "|"No Blocking Required                              "|"A"||""|"20991226"
"ELLIPSE"|"32675236"|"I"|"20-JUL-2020"|"HNR"|"1100"|108461|109780|"32675236"|"TRACK - PL - TAMPING"|"EACNTNA"|"009112"|"20990725"|""|""|"A"||""|"        "
"ELLIPSE"|"32678095"|"I"|"20-JUL-2020"|"LEH1"|"1100"|12870|12870|"32678095"|"DRAINAGE - MAINTAIN CATCHPIT"|"CGCYKCA"|"009236"|"20220128"|""|""|"A"||""|"20220108"
"ELLIPSE"|"28807888"|"I"|"20-JUL-2020"|"CCL"|"1100"|213356|213488|"28807888"|"TRACK - REMOVE SCRAP RAILS"|"JFCWBYB"|"009089"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"28807908"|"I"|"20-JUL-2020"|"CCL"|"2100"|214280|214346|"28807908"|"TRACK - REMOVE SCRAP RAILS"|"JFCWBYB"|"009089"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"31401671"|"I"|"20-JUL-2020"|"SPC1"|"1200"|7920|11000|"31401671"|"TRACK GEOMETRY MARKINGS - PAINT"|"KACLUTT"|"009127"|"20990101"|""|""|"A"||""|"        "
"ELLIPSE"|"12238845"|"I"|"20-JUL-2020"|"WJL3"|"1200"|332113|332113|"12238845"|"TRACK - PL - CHANGE WOOD SLEEPER"|"DDCEDHB"|"009091"|"20990725"|""|""|"A"||""|"        "
"ELLIPSE"|"25603085"|"I"|"20-JUL-2020"|"NBE"|"2100"|46440|46440|"25603085"|"TRACK - REMOVE SCRAP RAILS"|"FACSLAA"|"009089"|"20200306"|""|""|"A"||""|"        "
"ELLIPSE"|"25603171"|"I"|"20-JUL-2020"|"NBE"|"2100"|50601|50601|"25603171"|"TRACK - PL - CHANGE STEEL SLEEPER"|"FACSLAA"|"009093"|"20201231"|""|""|"A"||""|"        "
"ELLIPSE"|"10327436"|"I"|"20-JUL-2020"|"CWL2"|"3100"|75262|75262|"10327436"|"TRACK - CHANGE CHAIR / BASEPLATE"|"JECLLDB"|"009097"|"20250101"|""|""|"A"||""|"20250101"
"ELLIPSE"|"22842698"|"I"|"20-JUL-2020"|"LSC2"|"3800"|14889|14929|"22842698"|"S & C - PULL THROUGH/TURN & PLUG TIMBER"|"ECCCOVZ"|"009145"|"20200426"|""|""|"A"||""|"        "
"ELLIPSE"|"10166432"|"I"|"20-JUL-2020"|"LTN1"|"2100"|191026|191158|"10166432"|"BOUNDARY - RENEW/REPLACE AS POST & WIRE"|"AAFNORC"|"009296"|"20200507"|""|""|"A"||""|"        "
"ELLIPSE"|"23818425"|"I"|"20-JUL-2020"|"GRS4"|"3606"|15940|16213|"23818425"|"MAINTAIN DRAIN - RODDING / JETTING"|"CDCSLFF"|"009189"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"24769533"|"I"|"20-JUL-2020"|"BLI1"|"2100"|18678|18678|"24769533"|"TRACK - PL - MAINTAIN FASTENINGS"|"GACBARF"|"009098"|"20230122"|"Safeguarded green                                 "|"Possession (T3)                                   "|"A"||""|"        "
