"SOURCE_SYSTEM"|"DATA_KEY"|"DATA_ACTION"|"ACTION_DATE"|"WORK_GROUP_ID"|"WORK_GROUP_DESC"|"WORK_GROUP_STATUS"|"WORK_GROUP_LOCATION"|"WGS_CODE"|"WGS_DESCRIPTION"|"WGS_DISCIPLINE"|"ME_DISCIPLINE"|"ENG_DISCIPLINE"|"DU_DESC"|"ROUTE_NAME"
"ELLIPSE"|"BCBORPW"|"U"|"20-JAN-2020"|"BCBORPW"|"Orpington MMT Welding                   "|" "|"Welding & Grinding Mob Config                     "|"BCORPMMT  "|"Orpington MMT"|"Track"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCAORPW"|"U"|"20-JAN-2020"|"BCAORPW"|"Orpington MMT Production                "|" "|"Track Mobile Config                               "|"BCORPMMT  "|"Orpington MMT"|"Track"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCDORPW"|"U"|"20-JAN-2020"|"BCDORPW"|"Orpington MMT Supervisors               "|" "|"Track Mobile Config                               "|"BCORPMMT  "|"Orpington MMT"|"Track"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCCHRHW"|"U"|"20-JAN-2020"|"BCCHRHW"|"Herne Hill Works Delivery - Track       "|" "|"Track Mobile Config                               "|"BCORPTRW  "|"Orpington VWDM(TRACK)"|"Track"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCCORPW"|"U"|"20-JAN-2020"|"BCCORPW"|"Orpington Works Delivery - Track        "|" "|"Track Mobile Config                               "|"BCORPTRW  "|"Orpington VWDM(TRACK)"|"Track"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCSORPW"|"U"|"20-JAN-2020"|"BCSORPW"|"Orpington Works Delivery - Signals      "|" "|"Signalling Mobile Config                          "|"BCORPSGW  "|"Orpington WDM(SIGNALS)"|"Signals"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCOORPW"|"U"|"20-JAN-2020"|"BCOORPW"|"Orpington Works Delivery Off Track      "|" "|"Signalling Mobile Config                          "|"BCORPSGW  "|"Orpington WDM(SIGNALS)"|"Signals"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCWOFFA"|"U"|"20-JAN-2020"|"BCWOFFA"|"Orpington Works Delivery Offtrack       "|" "|"Offtrack Mobile Config                            "|"BCORPOTB  "|"Orpington WDM (OFFTRACK)"|"Off Track"|"Orpington IMPM"|"Prog Manager"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCPPORJ"|"U"|"20-JAN-2020"|"BCPPORJ"|"Orpington Plant Electrical Test (LBR)   "|" "|"Distribution &Plant Mob Config                    "|"BCORPDPA  "|"Orpington SM(D&P)"|"Distribution & Plant"|"Orpington E&PME"|"E&P"|"IMDM Orpington"|"Kent"
"ELLIPSE"|"BCPPORH"|"U"|"20-JAN-2020"|"BCPPORH"|"Orpington Plant Statutory Inspection    "|" "|"Distribution &Plant Mob Config                    "|"BCORPDPA  "|"Orpington SM(D&P)"|"Distribution & Plant"|"Orpington E&PME"|"E&P"|"IMDM Orpington"|"Kent"
