SOURCE_SYSTEM|DATA_KEY|DATA_ACTION|ACTION_DATE|ASSET_ID|ELR_ID|TRACK_DESCRIPTION|MILEAGE_FROM|MILEAGE_TO|ACCESS_POINT_TYPE_CODE|ACCESS_POINT_TYPE_DESC|ACCESS_POINT_NAME|LATITUDE|LONGITUDE|EASTING|NORTHING|POSITION_DESCRIPTION|STATUS_DESC|POSTCODE|ZONE_CODE|DATE_OF_LAST_UPDATE
"NHD"|10298408|"I"|"29-Mar-2018"|10298408|"WCM2"|"Up Slow"|98.1354|98.1354|"MAP"|"Authorised Access Point - Pedestrian"|"ENG R TRACK DEPOT, RUTHERGLEN"|||261918.0|661789.0|"Right Hand Side"|||"QL"|"25-Mar-2011"
"NHD"|10298463|"I"|"29-Mar-2018"|10298463|"WCM2"|"Down Main/Fast"|98.1272|98.1272|"MAV"|"Authorised Access Point - Vehicle"|"McCALLUM AVENUE, RUTHERGLEN <1>"|||261990.0|661772.0|"Left Hand Side"|||"QL"|"25-Mar-2011"
"NHD"|10298479|"I"|"29-Mar-2018"|10298479|"WCM2"|"Down Main/Fast"|98.1343|98.1343|"MAV"|"Authorised Access Point - Vehicle"|"McCALLUM AVENUE, RUTHERGLEN <2>"|||261927.0|661787.0|"Left Hand Side"|||"QL"|"25-Mar-2011"
"NHD"|10298752|"I"|"29-Mar-2018"|10298752|"WCM2"|"Up Main/Fast"|96.1655|96.1655|"MAV"|"Authorised Access Point - Vehicle"|"CHRISTIE PLACE, CAMBUSLANG"|||264482.0|660413.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10298819|"I"|"29-Mar-2018"|10298819|"WCM2"|"Up Main/Fast"|96.0438|96.0438|"MAV"|"Authorised Access Point - Vehicle"|"NEWTON WEST JN <2>, OFF MILL ROAD"|||265609.0|660428.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10298894|"I"|"29-Mar-2018"|10298894|"WCM2"|"Up Main/Fast"|95.1700|95.1700|"MAP"|"Authorised Access Point - Pedestrian"|"NEWTON WEST JN <1>, OFF MILL ROAD"|||266062.0|660479.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10299310|"I"|"29-Mar-2018"|10299310|"WCM2"|"Up Main/Fast"|92.0835|92.0835|"MAV"|"Authorised Access Point - Vehicle"|"UB 30 BOTHWELL PARK RD, OFF A721"|||271308.0|660021.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10299347|"I"|"29-Mar-2018"|10299347|"WCM2"|"Up Main/Fast"|92.1333|92.1333|"MAP"|"Authorised Access Point - Pedestrian"|"OB 31 FALLSIDE RD, UDDINGSTON"|||270962.0|660326.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10299441|"I"|"29-Mar-2018"|10299441|"WCM2"|"Down Main/Fast"|91.1272|91.1272|"MAV"|"Authorised Access Point - Vehicle"|"OB 28, A725 BELLSHILL ROAD"|||272184.0|659182.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10299636|"I"|"29-Mar-2018"|10299636|"WCM2"|"Up Main/Fast"|89.1129|89.1129|"MAV"|"Authorised Access Point - Vehicle"|"MUIR STREET <2>, MOTHERWELL"|||274890.0|657447.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
